orderid   custid    itemid  pieces  datetran  
2470      65234081  25      3       20.05.2014
2471      41173911  36      8       01.01.2013
2472      68664826  51      10      27.02.2014
2473      61076953  46      2       07.04.2014
2474      13511297  43      1       23.09.2013
2475      49814672  47      2       09.03.2014
2476      72843993  18      1       15.09.2013
2477      40026329  17      10      07.01.2014
2478      68979711  12      1       28.07.2013
2479      46622314  59      3       21.07.2013
2480      25422804  15      6       13.08.2014
2481      13753878  55      9       18.11.2014
2482      12422762  23      6       14.03.2014
2483      18298745  45      7       04.09.2014
2484      67318967  20      6       13.02.2014
2485      40548872  19      8       10.09.2013
2486      16155271  34      2       24.12.2013
2487      16758277  43      9       23.03.2013
2488      25884824  60      10      06.05.2013
2489      49310569  2       7       15.12.2013
2490      68001975  41      1       09.02.2014
2491      69725691  20      9       26.02.2014
2492      18148166  3       5       26.10.2013
2493      44915063  35      7       20.12.2014
2494      62877101  47      9       06.12.2014
2495      40006000  44      9       24.04.2013
2496      46764542  56      4       07.07.2013
2497      43523889  54      4       12.01.2013
2498      63651840  2       7       10.08.2013
2499      45854939  33      10      12.10.2013
2500      66423040  1       2       18.09.2014
2501      67758684  10      5       05.11.2013
2502      63410354  40      3       12.06.2013
2503      49188909  34      6       17.10.2014
2504      40647307  41      9       03.09.2013
2505      14683334  40      4       04.01.2014
2506      66445469  18      5       06.03.2013
2507      72671688  49      8       02.02.2013
2508      41390903  54      9       08.03.2014
2509      62247808  2       6       10.06.2013
2510      42602017  17      10      01.06.2013
2511      42700337  31      6       24.09.2013
2512      16750292  21      2       29.10.2014
2513      64805140  20      5       01.08.2013
2514      12794180  45      5       29.04.2013
2515      44915063  31      3       16.12.2014
2516      47344997  59      10      11.07.2013
2517      65225237  34      3       10.04.2013
2518      15477410  54      10      01.07.2014
2519      67479804  10      9       16.10.2013
2520      44402856  13      8       04.12.2014
2521      47206578  23      3       16.06.2014
2522      42633087  3       10      17.05.2014
2523      70062862  59      5       02.03.2013
2524      43779034  35      1       11.12.2013
2525      41406541  30      6       12.12.2014
2526      11539127  17      2       06.08.2013
2527      40363660  60      7       09.11.2014
2528      16750292  3       9       09.07.2013
2529      42997178  8       6       07.10.2013
2530      16155271  36      7       06.09.2014
2531      10236473  31      2       19.07.2013
2532      41051491  40      9       28.12.2014
2533      49559834  9       8       27.07.2013
2534      16908392  2       3       11.09.2013
2535      45082197  30      3       25.06.2013
2536      68738714  16      4       13.08.2013
2537      65765036  24      3       11.03.2014
2538      67138225  32      9       12.01.2014
2539      49310569  38      8       29.01.2013
2540      61132039  59      4       10.02.2013
2541      49088831  23      10      22.01.2014
2542      18541372  59      10      20.05.2013
2543      12820288  19      2       20.01.2014
2544      43431127  2       4       06.11.2013
2545      65372468  52      7       26.08.2013
2546      65623878  60      6       18.06.2014
2547      61493686  11      2       23.09.2013
2548      15073076  19      8       15.12.2013
2549      18564712  39      3       24.11.2014
2550      49383205  51      3       11.07.2014
2551      47118539  52      3       24.07.2014
2552      72192823  37      9       01.12.2013
2553      12385654  11      1       26.10.2013
2554      62462679  23      8       20.08.2013
2555      45118728  8       6       08.01.2014
2556      49969447  42      10      31.07.2014
2557      12276456  39      2       19.09.2014
2558      62798545  50      8       14.03.2013
2559      62641697  4       9       03.06.2013
2560      60767961  10      1       11.05.2013
2561      62677802  6       5       20.09.2014
2562      13212095  33      9       08.02.2013
2563      44368801  21      7       03.01.2014
2564      43969020  20      7       26.06.2013
2565      69219010  44      6       24.05.2013
2566      65050614  11      10      14.02.2013
2567      70327076  15      2       18.09.2014
2568      18671250  7       1       27.07.2013
2569      12820288  54      10      17.03.2014
2570      13922530  51      3       17.06.2013
2571      68927771  19      9       26.11.2013
2572      12723304  17      2       10.12.2013
2573      69069310  33      2       23.06.2013
2574      48886122  48      1       19.09.2014
2575      63304651  53      2       07.02.2014
2576      61132039  59      1       15.06.2013
2577      72235799  6       8       11.04.2013
2578      63910403  32      8       21.11.2013
2579      13186558  7       8       30.04.2014
2580      45242674  46      9       27.04.2013
2581      40202381  25      5       12.07.2014
2582      48004448  5       1       12.02.2014
2583      11500794  10      8       10.06.2014
2584      11424052  16      6       11.08.2013
2585      44859074  56      8       19.10.2013
2586      62896407  5       7       23.06.2013
2587      66548284  39      2       24.08.2013
2588      62375512  9       6       22.06.2014
2589      12026611  42      6       07.11.2013
2590      11029889  50      4       27.12.2013
2591      42204909  53      10      17.01.2013
2592      63248000  36      4       16.02.2013
2593      60657405  38      2       20.03.2014
2594      68071507  41      3       05.03.2013
2595      41679008  5       10      27.09.2014
2596      66101018  35      7       07.03.2014
2597      15922626  46      2       24.08.2013
2598      72987898  27      8       25.09.2014
2599      25601474  10      9       17.12.2014
2600      25086839  34      7       04.10.2013
2601      49822144  38      7       26.05.2014
2602      16750292  45      4       20.02.2013
2603      65285191  41      9       22.12.2013
2604      41913752  60      3       12.02.2014
2605      18788203  15      3       15.06.2013
2606      47736372  50      1       02.03.2014
2607      45973784  50      5       04.12.2014
2608      60316144  59      2       13.09.2014
2609      40484157  60      4       15.07.2014
2610      40006000  49      9       16.05.2013
2611      41676513  49      10      18.11.2014
2612      72223464  59      3       19.08.2013
2613      12253448  52      2       24.03.2013
2614      64169103  17      10      20.04.2014
2615      62446754  35      7       11.01.2013
2616      65931963  45      8       28.05.2014
2617      48886122  52      10      17.07.2014
2618      48761885  56      9       30.06.2014
2619      65632036  8       10      25.11.2013
2620      18240607  50      3       24.05.2013
2621      40906027  8       8       30.05.2014
2622      67341802  51      6       21.02.2013
2623      49555049  26      2       26.06.2013
2624      67152228  41      9       12.01.2013
2625      40671461  58      7       25.01.2014
2626      68729804  32      10      16.07.2013
2627      49531689  37      9       23.08.2013
2628      61087424  55      6       15.03.2013
2629      13918630  24      3       20.06.2014
2630      71086382  7       8       16.06.2013
2631      61220540  55      1       05.04.2013
2632      65234081  46      6       07.05.2014
2633      41473167  4       8       15.08.2013
2634      61859303  39      1       10.09.2013
2635      87654326  7       4       09.10.2014
2636      10236473  21      5       28.04.2013
2637      41381823  29      4       02.11.2013
2638      72223464  57      6       22.12.2013
2639      12820288  33      3       24.05.2014
2640      44795599  39      4       05.08.2014
2641      44970919  32      10      14.12.2013
2642      42565251  2       9       29.09.2014
2643      63079577  52      5       13.08.2013
2644      66423040  42      1       26.01.2014
2645      12650927  29      2       02.02.2014
2646      25237471  54      9       26.05.2013
2647      70601411  45      3       07.06.2014
2648      68365799  53      4       21.06.2014
2649      63745267  36      1       29.12.2014
2650      40671461  42      8       16.08.2013
2651      47150793  51      10      13.01.2013
